ticker,weight,expected_return
APP,0.6202312324752532,1.45823887095998
HOOD,0.3797687675246022,1.3365489456992774
PLTR,9.386299085975622e-14,1.1381254220092187
AEP,1.3094755513313405e-14,0.23127142542576348
HWM,1.2939373011701714e-14,0.6599777814829245
WELL,1.2869069461342296e-14,0.4322551322651416
WDC,1.179051611112355e-14,0.7531763139128614
ADP,0.0,0.0762403626662927
ADSK,0.0,0.15995812478692037
AEE,0.0,0.15855879432831693
AES,0.0,-0.07868660662019551
AFL,0.0,0.16193163330133012
TRV,0.0,0.23697368636331798
AXON,0.0,0.4256280747404823
WAB,0.0,0.29445301309830285
VMC,0.0,0.16386098975703894
ALLE,0.0,0.21776948926299827
ZTS,0.0,-0.1985343985365018
TMO,0.0,0.07625666335105687
TMUS,0.0,0.17131525571344264
TPL,0.0,0.28915628796451925
TPR,0.0,0.6536145222303301
TRGP,0.0,0.3743154342409715
TRMB,0.0,0.28268138406785626
TROW,0.0,0.06404686783270053
ABT,0.0,0.1061593159389765
TSCO,0.0,0.14179882163981244
TSLA,0.0,0.32631360547158983
TSN,0.0,0.09380656134995206
TT,0.0,0.2964354119919645
TTD,0.0,-0.28104952408564976
TTWO,0.0,0.2250765050128656
TXN,0.0,0.09512222731182621
TXT,0.0,0.03785986462425906
TYL,0.0,0.06017590777517846
UAL,0.0,0.4779790720894682
UBER,0.0,0.2183322347037423
UDR,0.0,0.05216844732625655
UHS,0.0,0.2526770872515423
ULTA,0.0,0.04697603739837929
UNH,0.0,-0.2337957467713418
UNP,0.0,0.029699408908293843
UPS,0.0,-0.19265035555389082
URI,0.0,0.2591836569829334
USB,0.0,0.17578344441198912
V,0.0,0.13186982389226362
VICI,0.0,0.011631873681008435
VLO,0.0,0.19320638074732682
VLTO,0.0,0.1576303464868069
AAPL,0.0,0.20108583008805794
AXP,0.0,0.393752711095803
AZO,0.0,0.18396196092265155
BA,0.0,-0.0769764868124758
BAC,0.0,0.3040553521698894
BALL,0.0,-0.061377493453098286
BAX,0.0,-0.32657623518894835
BBY,0.0,0.043414430701630764
BDX,0.0,-0.08633368730413281
BEN,0.0,0.003065012877261883
BG,0.0,-0.033747758990735954
BIIB,0.0,-0.12645051996502985
BK,0.0,0.4517525021773845
BKNG,0.0,0.24453002424834366
BKR,0.0,0.22786031993126254
BLDR,0.0,-0.10660328078790408
BLK,0.0,0.19900705042848896
BMY,0.0,0.06692326909596037
BR,0.0,0.10014092500934062
BRO,0.0,0.03927133377690286
BSX,0.0,0.2887050423385572
BX,0.0,0.16317150959487461
BXP,0.0,0.10653020487434177
C,0.0,0.4443402997145163
CAG,0.0,-0.21179550095087352
CAH,0.0,0.3246685911982286
CARR,0.0,0.02279690879265116
CAT,0.0,0.44540756998306225
CB,0.0,0.1394646375341153
CBOE,0.0,0.17653980865544444
CBRE,0.0,0.33830243162060364
CCI,0.0,-0.08878260989025206
CCL,0.0,0.22742101221636
CDNS,0.0,0.12352805161757745
CDW,0.0,-0.18139719630745219
CEG,0.0,0.5740529998375372
CF,0.0,0.06504791450325623
CFG,0.0,0.3746722802357448
CHD,0.0,-0.049911284393050294
CHRW,0.0,0.3305390710950309
CHTR,0.0,-0.34669825036742263
CI,0.0,0.026251114059474147
CINF,0.0,0.2523349196138462
CL,0.0,0.014644513152418714
CLX,0.0,-0.12145999164497381
CMCSA,0.0,-0.19726342861926163
CME,0.0,0.15347367952044014
CMG,0.0,-0.1331262254425786
CMI,0.0,0.42034246736499326
CMS,0.0,0.13520164837949358
CNC,0.0,-0.32606168468728225
CNP,0.0,0.17256074945101743
COF,0.0,0.3617207417820949
COIN,0.0,0.3336816454801968
COO,0.0,-0.047426698417888415
COP,0.0,-0.0739738995463997
COR,0.0,0.25957250188619985
COST,0.0,0.21798947064007712
CPAY,0.0,0.08405313636847382
CPB,0.0,-0.13203819721679816
CPRT,0.0,-0.11865183031817883
CPT,0.0,0.0971716386237467
CRL,0.0,-0.043017491014751774
CRM,0.0,-0.00099408239153807
CRWD,0.0,0.3880717499942352
CSCO,0.0,0.26935750064802205
CSGP,0.0,-0.1105019587038949
CSX,0.0,0.0499383105990178
CTAS,0.0,0.15007194186785636
CTRA,0.0,0.06459022289430665
CTSH,0.0,0.07580246790434968
CTVA,0.0,0.20343721275387852
CVS,0.0,0.09587311598801158
CVX,0.0,0.067788852105609
D,0.0,0.17445191756873782
DAL,0.0,0.2954366923187829
DASH,0.0,0.4074659529401781
DAY,0.0,-0.003005575404802209
DD,0.0,0.1609764102355146
DDOG,0.0,0.12867654793701316
DE,0.0,0.148446443507712
DECK,0.0,-0.09367748927115899
DELL,0.0,0.36387483532301224
DG,0.0,-0.016624905014174473
DGX,0.0,0.16608281402936784
DHI,0.0,0.11355033839753569
DHR,0.0,0.015416642768343786
DIS,0.0,0.0769313471152947
DLR,0.0,0.11026204515156819
DLTR,0.0,-0.05325132111193153
DOC,0.0,0.02694757872175211
DOV,0.0,0.1538831193763595
DOW,0.0,-0.35085556862213313
DPZ,0.0,0.04988762825012655
DRI,0.0,0.07713782897541906
DTE,0.0,0.1344766365112664
DUK,0.0,0.1588806200133504
DVA,0.0,0.04670053546969047
DVN,0.0,-0.04834417718815059
DXCM,0.0,-0.30012484963720026
EA,0.0,0.20042105241460187
EBAY,0.0,0.35811736084755197
ECL,0.0,0.17136593272403564
ED,0.0,0.057307845522595914
EFX,0.0,-0.02421365128776309
EG,0.0,-0.1056051525956987
EIX,0.0,-0.030818771327327667
EL,0.0,-0.12783804153308104
ELV,0.0,-0.17420585348998835
