ticker,weight
A,0.0
AAPL,7.273766160719151e-09
ABBV,0.0
ABNB,0.0
ABT,7.548535558078883e-05
ACGL,0.004593956705279343
ACN,0.0
ADBE,8.791965421377602e-05
ADI,0.0
ADM,0.0
ADP,0.0007612337092708617
ADSK,0.00027068976043973143
AEE,0.0021304181753589663
AEP,0.0006879107849909822
AES,0.0
AFL,0.002311392356192139
AIG,0.0008348633922699228
AIZ,0.0023657336871735395
AJG,0.003495063224497589
AKAM,0.0
ALB,0.0
ALGN,0.0
ALL,0.007507950860004013
ALLE,0.0
AMAT,0.0
AMCR,0.0
AMD,0.00017936497338546552
AME,4.841281253816873e-05
AMGN,0.0
AMP,0.0007701321780896606
AMT,0.0
AMZN,0.0006299283861071901
ANET,0.01922472983135378
AON,0.0014202199279274416
AOS,0.0
APA,0.0
APD,0.0
APH,0.00496212872560155
APO,0.001784830277609767
APP,0.24413861134329579
APTV,0.0
ARE,0.0
ATO,0.0012848848437498471
AVB,0.0
AVGO,0.008371425881636668
AVY,0.0
AWK,1.2962766255998369e-05
AXON,0.04087059188040066
AXP,4.3557389813347674e-05
AZO,0.0005799617282519342
BA,1.3651416190322382e-06
BAC,0.0003581870537856719
BALL,0.0
BAX,0.0
BBY,0.0
BDX,0.0
BEN,0.0
BG,0.0
BIIB,0.0
BK,0.0012202285256486733
BKNG,0.0007806451910815678
BKR,0.0001845417394918395
BLDR,0.0
BLK,2.5931467188667813e-09
BMY,0.0
BR,0.00041731830892674943
BRO,0.0021096195086165513
BSX,0.003409563957433351
BX,0.0
BXP,0.0
C,0.0003001722376574809
CAG,0.0
CAH,0.0059358148094738345
CARR,0.0
CAT,0.0
CB,0.0013372403935878992
CBOE,0.003713866295324939
CBRE,0.0
CCI,0.0
CCL,0.0
CDNS,0.0010686972814793073
CDW,0.0
CEG,0.05212322004756762
CF,8.594783853992612e-06
CFG,0.0
CHD,2.731185920976841e-05
CHRW,6.532436955186941e-05
CHTR,0.0
CI,0.0
CINF,0.0012447085046133773
CL,3.0354489900621126e-05
CLX,4.6115922658267823e-07
CMCSA,0.0
CME,0.006212183485787806
CMG,8.138859647710817e-07
CMI,0.0
CMS,0.0003838607795687701
CNC,0.0
CNP,0.0013516683805160127
COF,3.41497734528979e-05
COIN,0.009697904144915528
COO,0.0
COP,0.0
COR,0.003350490652142184
COST,0.004398958787057171
CPAY,0.0
CPB,0.0
CPRT,0.00011267767047115215
CPT,0.0
CRL,0.0
CRM,0.000549430173095003
CRWD,0.03239078142463812
CSCO,0.0007829383425940466
CSGP,0.0
CSX,0.0
CTAS,0.0009260693316228667
CTRA,0.0004970565559359668
CTSH,0.0
CTVA,0.0
CVS,9.333785524507701e-07
CVX,0.0
D,3.2987558748231806e-05
DAL,0.0
DASH,0.003971228160135686
DAY,0.0
DD,0.0
DDOG,0.00202311209307687
DE,0.0
DECK,0.0
DELL,0.0002107343553542709
DG,0.0
DGX,5.403338327300208e-05
DHI,0.0
DHR,0.0
DIS,0.0
DLR,0.0016705572165638905
DLTR,0.0
DOC,0.0
DOV,0.0
DOW,0.0
DPZ,9.687106311342066e-06
DRI,0.0
DTE,0.0005252617662933214
DUK,0.0012479898227425214
DVA,0.0
DVN,0.0
DXCM,8.103330891245893e-06
EA,0.0009927867478957398
EBAY,3.317720741871095e-06
ECL,9.670410628721105e-05
ED,0.0007074983858736597
EFX,0.0
EG,0.00098924806199557
EIX,2.980494841576079e-06
EL,0.0
ELV,0.0
EME,0.005930699400800765
EMR,0.0
EOG,7.742328563182183e-07
EPAM,0.0
EQIX,0.0006492460163127502
EQR,0.0
EQT,0.010778837625508724
ERIE,0.00017300702935211536
ES,1.0873558574928072e-06
ESS,0.0
ETN,0.002581169231708563
ETR,0.004679490656758899
EVRG,0.001223294708922285
EW,0.0010064047654486246
EXC,0.0014489220659126467
EXE,0.006092751537303752
EXPD,0.0
EXPE,0.0
EXR,0.0
F,0.0
FANG,0.0
FAST,1.901244365661213e-05
FCX,0.0
FDS,1.796343661555502e-05
FDX,0.0
FE,0.0005633790900196349
FFIV,0.00020524833105379692
FICO,0.00230811255117551
FIS,0.0
FISV,0.0
FITB,0.0
FOX,6.518900522060588e-05
FOXA,4.648215133856861e-05
FRT,0.0
FSLR,0.0
FTNT,0.011071354220304126
FTV,0.0
GD,0.0003083201020579296
GDDY,0.0029096300992239852
GE,0.006633337695771787
GEHC,0.0
GEN,1.2942625207139752e-07
GILD,0.0
GIS,0.0
GL,0.004226259012911011
GLW,0.0024617145498627255
GM,0.0
GNRC,0.0
GOOG,0.0019170767039573876
GOOGL,0.0019641027961405737
GPC,0.0
GPN,0.0
GRMN,0.0
GS,0.0008128833585205055
GWW,2.064681139432866e-05
HAL,0.0
HAS,0.0
HBAN,0.0
HCA,6.724958703009379e-06
HD,0.0
HIG,0.002006992130782999
HII,0.00015473763719267168
HLT,7.244190777088076e-05
HOLX,0.0
HON,5.8541597265104555e-06
HOOD,0.019586632315385658
HPE,0.0003076920489720926
HPQ,0.0
HRL,0.0
HSIC,0.0
HST,0.0
HSY,0.0
HUBB,9.031901204824647e-06
HUM,0.0
HWM,0.009793985451001562
IBKR,0.022257586025368464
IBM,0.0010866846634589116
ICE,0.0008577900889432067
IDXX,0.0
IEX,0.0
IFF,0.0
INCY,0.0
INTC,0.0
INTU,0.0012690984167998322
INVH,2.8145109256746126e-05
IP,0.0
IQV,0.0
IR,0.0
IRM,0.00016475869285404802
ISRG,0.0011098152262368748
IT,2.115225912822121e-07
ITW,0.0
IVZ,0.0
J,1.1265132725125273e-05
