Strategy,Sharpe,Return,Volatility,Energy,Selections
Conservative,2.090780408379831,68.41564756202465,32.72254096499818,-7.001842161966334,3
Balanced,2.200489651284379,75.88543785257296,34.48570540119571,-12.219683268637384,7
Aggressive,2.1748750017492426,68.89611526742132,31.678195396061138,-16.906663654809073,5
