Ticker,Weight,Score
APP,0.2544065226204925,2.3175339199006224
PLTR,0.07978391818569094,1.5745452239184843
VST,0.069267741944991,1.5020821854497628
CEG,0.05559957189322691,1.3959627656326918
AXON,0.04349560379963311,1.2862690110662955
CRWD,0.032054875077276904,1.1618446118487884
HOOD,0.026320036948770192,1.0879581341751021
IBKR,0.019627697745316412,0.986597034757776
ANET,0.019143761364988954,0.9784210237693879
COIN,0.01894334201158638,0.9749946188761415
NFLX,0.018205656177438287,0.9621707071878561
NVDA,0.016254871301987748,0.9264980944981691
WMB,0.012467424115895423,0.8480906264688512
ORCL,0.01217174866021593,0.8413325224892195
EQT,0.011828865411785445,0.8333569253345676
PANW,0.010204718468034803,0.7933235767487941
FTNT,0.010117780698357353,0.7910642763214893
NRG,0.009544229956609857,0.7758247858452068
HWM,0.00927064019120795,0.7683396768045205
PGR,0.008266606299305097,0.7395356315476138
AVGO,0.007635406207247773,0.7202126318916514
EME,0.007592103947580328,0.7188485491752673
KMI,0.007395406981683718,0.7125861521146263
EXE,0.006611715709293738,0.6864697576231051
ALL,0.006347329081351806,0.6771949181793198
GE,0.0063070848836801014,0.6757606682966899
MCK,0.005778409848196092,0.6563257840203562
PWR,0.005663098146682528,0.6519306229163091
CME,0.005558725566578257,0.647900671195214
APH,0.004504049565342473,0.6040196570161226
CAH,0.004475911969849828,0.6027592227104902
TRGP,0.004458734994088186,0.6019871749575979
DASH,0.004369452618817385,0.5979419592314672
ETR,0.004196388797078222,0.5899410158122118
PM,0.003971938680460618,0.5792297553852037
ACGL,0.003958886987708575,0.5785946142833622
TSLA,0.003930435232956324,0.5772051979471737
WELL,0.003836824242157614,0.572585906016228
NOW,0.003664357119401464,0.5638747092000634
COST,0.003583259214300373,0.5596838313409883
WRB,0.003566226117812157,0.5587955995675876
MSFT,0.0034717822469964668,0.5538185667567976
PEG,0.0034418732609885526,0.5522236177643316
GDDY,0.0033988841021425423,0.5499148791835774
TMUS,0.0032434507212424084,0.5414010827686947
RTX,0.0031921187383622948,0.5385297473332501
META,0.0031627843856522953,0.5368750406232647
MSI,0.003120148487827102,0.5344516713467159
CBOE,0.0030446669434695045,0.5301066870617456
AJG,0.0030217458117170895,0.5287730694279262
COR,0.0029828276317298633,0.5264931654596402
BSX,0.0028785956161116576,0.5202877155011294
KR,0.0028475058821305736,0.5184078413477664
RSG,0.0027408823936157364,0.5118548456745373
ETN,0.002716155755294138,0.5103109753168289
WDC,0.0027067088054184207,0.509718657525491
FICO,0.002358233355777069,0.4868318066361009
NI,0.002300803345253243,0.4828473498276442
DDOG,0.0022368592568342885,0.47833214974764143
WMT,0.002216644315639676,0.47688685963910665
TKO,0.0020681275826993574,0.46598913875614945
WM,0.0020575779666038886,0.46519544349029307
GOOGL,0.00201150190504202,0.4616967683929677
GL,0.002000647208326761,0.4608647830672799
LMT,0.0019961840586619688,0.4605218207256545
NEM,0.0019858793882466595,0.45972802037111143
SCHW,0.0019698392855110234,0.45848691983264134
GOOG,0.001969475388976397,0.4584586853674624
TTWO,0.001953702076191728,0.4572314882100153
JPM,0.0019336759486205477,0.45566385896457623
AFL,0.001930862943141721,0.4554427934869706
BRO,0.0019132289692888969,0.45405207849230084
AIZ,0.0019029782886352234,0.4532397205894652
AEE,0.0018443654066708306,0.44853775806738766
TRV,0.0016798159154543804,0.43478102551338527
WTW,0.001660442021545366,0.4331030650865083
OKE,0.0016567926490951995,0.43278553643647166
HIG,0.0016219898265060694,0.42973368149616353
GLW,0.0015219274441390638,0.4207085467484757
ORLY,0.0014885542905840427,0.4176106622076318
DLR,0.0014706136227349046,0.41592613802388595
APO,0.001441021623526459,0.4131174291255254
TPL,0.001415611171252439,0.41067476038413564
L,0.0013708851461839298,0.4063033242549381
TDG,0.0013554454786578604,0.40477222409021313
AON,0.0013249578985909775,0.4017143799224159
TT,0.001317441282798119,0.4009532838515979
SRE,0.0012929536566731235,0.3984535234817964
EXC,0.0012742841696824795,0.3965264068627273
ROL,0.0012381519942739796,0.3927425954565882
MO,0.001177502180948803,0.3862222225867816
CNP,0.0011525121105853632,0.38347040419693385
INTU,0.0011364012349983686,0.3816751787789601
CDNS,0.0011300044158511656,0.3809576790997291
MMC,0.0011030289178872122,0.3779018211339499
NDAQ,0.0010694300982502557,0.3740251619167054
CB,0.001036485441158706,0.37014431834691097
ATO,0.0010266074912027095,0.36896470892652045
DUK,0.0010193945399183458,0.3680985610347585
ISRG,0.001014931400522008,0.3675605689227295
EVRG,0.0010136453133091812,0.36740524980211126
T,0.0009967832209946822,0.3653565729752028
CINF,0.0009655488626633604,0.3614998356811749
VTR,0.0009635667820893066,0.3612523037050044
VRSK,0.000922920167618035,0.35609952751817725
EA,0.0009153893998116899,0.355128323948937
IBM,0.0008957005368614661,0.35256372836056965
LHX,0.0008827331792748116,0.3508540566122539
PPL,0.0008821356327303205,0.3507748711315963
BK,0.0008501837873355243,0.3464875426851366
EG,0.0008391434599970282,0.34498119593439625
XEL,0.0008207368794745179,0.34244014182907107
NOC,0.0008051660645412487,0.34026073787063477
CTAS,0.0007582215569557698,0.33351501787304283
MS,0.0007474112951359513,0.33192240679816554
AMZN,0.000728826787006408,0.32914818204168983
CRM,0.000723208163673891,0.32830018337330186
ICE,0.0006997983222854294,0.3247189627185733
ADP,0.0006862654291790698,0.3226121547993855
V,0.0006851068452900838,0.32243050312994803
CTRA,0.0006844423992791992,0.32232623376945096
RJF,0.0006821664111108797,0.3219685580110381
LYV,0.00066868216267863,0.3198329949120008
JCI,0.0006474925733045847,0.3164183167080389
