risk_penalty,cardinality_penalty,sharpe,expected_return,volatility,qubo_energy
2.0,0.1,2.2023441914070467,0.7614083806427262,0.3457263327020075,-8.499880582960301
2.0,0.2,2.185311556066052,0.7144487775597084,0.32693222876002304,-7.853531888943957
2.0,0.5,2.1435883962727167,0.7150644971269031,0.33358292961944613,-6.277906539704922
2.0,1.0,2.0477777041045204,0.6592585619251927,0.3219385388383658,-5.042533925863878
2.0,2.0,2.0477777041045204,0.6592585619251927,0.3219385388383658,-3.0425339258638777
2.5,0.1,2.2023441914070467,0.7614083806427262,0.3457263327020075,-10.799850728700376
2.5,0.2,2.185311556066052,0.7144487775597084,0.32693222876002304,-10.116914861179946
2.5,0.5,2.1435883962727167,0.7150644971269031,0.33358292961944613,-8.347383174631155
2.5,1.0,2.1361409239481617,0.728316395212368,0.3409496007717711,-5.878794423660129
2.5,2.0,1.7286641640601499,0.583149264262642,0.3373409806176505,-5.109456766901691
3.0,0.1,2.2023441914070467,0.7614083806427262,0.3457263327020075,-13.09982087444045
3.0,0.2,2.2023441914070467,0.7614083806427262,0.3457263327020075,-12.39982087444045
3.0,0.5,2.185311556066052,0.7144487775597084,0.32693222876002304,-10.580297833415935
3.0,1.0,2.0932154270865597,0.6853085045288768,0.3273951145500217,-8.664230324161807
3.0,2.0,2.0477777041045204,0.6592585619251927,0.3219385388383658,-6.563800888795817
3.5,0.1,2.2023441914070467,0.7614083806427262,0.3457263327020075,-15.399791020180523
3.5,0.2,2.2023441914070467,0.7614083806427262,0.3457263327020075,-14.699791020180523
3.5,0.5,2.185311556066052,0.7144487775597084,0.32693222876002304,-12.84368080565192
3.5,1.0,2.1154001795059423,0.6598882175278908,0.31194486221609835,-10.352772409356898
3.5,2.0,2.0477777041045204,0.6592585619251927,0.3219385388383658,-8.324434370261786
4.0,0.1,2.1814441468489267,0.6959698564331936,0.31904087823587635,-16.661999947777822
4.0,0.2,2.2023441914070467,0.7614083806427262,0.3457263327020075,-16.999761165920603
4.0,0.5,2.185311556066052,0.7144487775597084,0.32693222876002304,-15.10706377788791
4.0,1.0,2.168541955525285,0.7601176297113232,0.3505201399376201,-11.823747659644674
4.0,2.0,2.0932154270865597,0.6853085045288768,0.3273951145500217,-9.552307098882409
